Company Name,Location,Description,Batch,Company URL,Website,Founder Details
Mio,"Austin, TX, USA",Mio powers seamless communication between workplace chat apps.,W16,https://ycombinator.com/companies/mio,http://m.io,"[{""name"":""Tom Hadfield"",""role"":""CEO"",""biography"":""Tom Hadfield is a British entrepreneur whose first company, Soccernet.com, was sold to ESPN for $40 million when he was 17 years old. Today, Tom is the CEO of Mio, an enterprise messaging startup based in Austin, Texas backed by Y Combinator, Khosla Ventures and Capital Factory. Tom graduated from Harvard University in 2008 and he is a board member at Heifer International, a charity working to end hunger and poverty around the world."",""twitter"":""http://twitter.com/tomhadfield"",""linkedin"":""http://www.linkedin.com/in/hadfieldtom/""},{""name"":""James Cundle"",""role"":""CTO"",""biography"":""Security first engineer with multi-stack and devops experience applied to multiple verticals over the last 20+ years.  Excellent track record of delivering projects for creative business thinkers. Big picture awareness, rapid prototype and forward thinker in fast moving, small team environments. Solid lead in delivering SOC2 Type I and II compliance in a start up environment."",""twitter"":""https://twitter.com/jamescundle"",""linkedin"":""https://www.linkedin.com/in/jamescundle/""}]"
MagicBus,"Los Angeles, CA, USA",We make vanpool simple.,W16,https://ycombinator.com/companies/magicbus,http://www.magicbus.io,"[{""name"":""Jason Kraft"",""role"":""CTO "",""biography"":null,""twitter"":null,""linkedin"":""https://linkedin.com/in/jasonjkraft""},{""name"":""Jason Kraft"",""role"":""CTO "",""biography"":null,""twitter"":null,""linkedin"":""https://linkedin.com/in/jasonjkraft""}]"
iSono Health,"San Francisco, CA, USA",AI-powered platform for Accessible and Personalized Breast Health…,W16,https://ycombinator.com/companies/isono-health,http://www.isonohealth.com,"[{""name"":""Shadi Saberi"",""role"":""CTO "",""biography"":null,""twitter"":null,""linkedin"":""http://www.linkedin.com/in/ssaberig""},{""name"":""Shadi Saberi"",""role"":""CTO "",""biography"":null,""twitter"":null,""linkedin"":""http://www.linkedin.com/in/ssaberig""}]"
Stealth Worker,"Menlo Park, CA, USA","Information Security (Cyber Security), Compliance and Privacy (GDPR &…",W16,https://ycombinator.com/companies/stealth-worker,https://www.stealthworker.com,"[{""name"":""Ken Baylor"",""role"":""Founder "",""biography"":null,""twitter"":null,""linkedin"":""https://www.linkedin.com/in/kenbaylor""},{""name"":""Ken Baylor"",""role"":""Founder "",""biography"":null,""twitter"":null,""linkedin"":""https://www.linkedin.com/in/kenbaylor""}]"
SOUNDBOKS,"Copenhagen, Denmark",We're creating the loudest battery-driven speaker on the market,W16,https://ycombinator.com/companies/soundboks,http://soundboks.com,"[{""name"":""Jesper Theil Thomsen"",""role"":""CEO"",""biography"":""I'm the CEO & co-founder of SOUNDBOKS. \n\nI'm based in Copenhagen."",""twitter"":null,""linkedin"":""https://www.linkedin.com/profile/view?id=AAIAABVMXEgBw5e16NKx-jQOYprAiCu8I34aBw8&trk=nav_responsive_tab_profile_pic""},{""name"":""Christoffer Nyvold"",""role"":""COO"",""biography"":"""",""twitter"":null,""linkedin"":""https://dk.linkedin.com/pub/christoffer-nyvold/101/84a/b38""}]"
Flirtey (SkyDrop),"Reno, NV, USA",Flirtey is the world’s first commercial drone delivery service and…,S15,https://ycombinator.com/companies/flirtey,https://www.flirtey.com/,"[{""name"":""Matthew Sweeny"",""role"":""CEO "",""biography"":null,""twitter"":null,""linkedin"":""https://www.linkedin.com/in/matthew-sweeny-732b70127""},{""name"":""Matthew Sweeny"",""role"":""CEO "",""biography"":null,""twitter"":null,""linkedin"":""https://www.linkedin.com/in/matthew-sweeny-732b70127""}]"
Cofactor Genomics,"St. Louis, MO, USA",Cofactor closes the precision medicine gap with predictive diagnostics,S15,https://ycombinator.com/companies/cofactor-genomics,http://cofactorgenomics.com,"[{""name"":""Dave Messina"",""role"":""COO"",""biography"":""Dave Messina has spent the last 20 years in computational biology and human genetics. He contributed to the Human Genome Project at Washington University in Saint Louis, mapped disease genes at the University of Chicago, and co-developed the first comprehensive atlas of human transcription factor genes. As COO of Cofactor Genomics, Dave leads regulatory and reimbursement efforts for the company, driving the implementation of RNA-based diagnostics and their clinical application."",""twitter"":""https://twitter.com/davemessina"",""linkedin"":""http://linkedin.com/in/davemessina""},{""name"":""Jarret Glasscock"",""role"":""CTO"",""biography"":"""",""twitter"":null,""linkedin"":""https://www.linkedin.com/in/jarretglasscock""}]"
Click & Grow,"Palo Alto, CA, USA",Click & Grow makes indoor urban gardens and farms that take complete…,S15,https://ycombinator.com/companies/click-and-grow,https://www.clickandgrow.com/,"[{""name"":""Mattias Lepp"",""role"":""Founder "",""biography"":null,""twitter"":null,""linkedin"":""https://ee.linkedin.com/pub/mattias-lepp/17/ab4/413""},{""name"":""Mattias Lepp"",""role"":""Founder "",""biography"":null,""twitter"":null,""linkedin"":""https://ee.linkedin.com/pub/mattias-lepp/17/ab4/413""}]"
The Ticket Fairy,"Los Angeles, CA, USA",Revenue generation for live events,S15,https://ycombinator.com/companies/the-ticket-fairy,https://www.ticketfairy.com/,"[{""name"":""Ritesh Patel"",""role"":""CEO"",""biography"":""CEO, The Ticket Fairy. Engineer and event producer."",""twitter"":""https://twitter.com/ritlocus"",""linkedin"":""http://www.linkedin.com/in/riteshdpatel""},{""name"":""Jigar Patel"",""role"":""COO"",""biography"":"""",""twitter"":null,""linkedin"":""http://www.linkedin.com/in/desinex""}]"
HER,"San Francisco, CA, USA","HER helps lesbian, bisexual and queer people meet each other",S15,https://ycombinator.com/companies/her,http://weareher.com,"[{""name"":""Robyn Exton"",""role"":""CEO "",""biography"":null,""twitter"":null,""linkedin"":""https://www.linkedin.com/in/robynexton""},{""name"":""Robyn Exton"",""role"":""CEO "",""biography"":null,""twitter"":null,""linkedin"":""https://www.linkedin.com/in/robynexton""}]"
